Country,Ecosystem,Stratum,Year,Estimate,SE,Source,Protected_Status
Zambia,West Zambezi,Sioma Ngwezi NP,2013,133,72.54653679,historical data cited in GEC report,Yes
Zambia,West Zambezi,Sioma Ngwezi NP,2015,48,38.36143897,GEC report,Yes
Zimbabwe,Gonarezhou NP & Save Valley Conservancy,Gonarezhou NP,1995,4154,778.1529878,historical data cited in GEC report,Yes
Zimbabwe,Gonarezhou NP & Save Valley Conservancy,Gonarezhou NP,1996,3741,880.9279107,African Elephant Database,Yes
Zimbabwe,Gonarezhou NP & Save Valley Conservancy,Gonarezhou NP,1998,4151,579.9442079,historical data cited in GEC report,Yes
Zimbabwe,Gonarezhou NP & Save Valley Conservancy,Gonarezhou NP,2001,4987,792.8351197,historical data cited in GEC report,Yes
Zimbabwe,Gonarezhou NP & Save Valley Conservancy,Gonarezhou NP,2007,6516,880.9279107,"Dunham et al.. 2007. Aerial survey of elephants and other large herbivores in Gonarezhou National Park, Zimbabwe: 2007. WWF-SARPO.",Yes
Zimbabwe,Gonarezhou NP & Save Valley Conservancy,Gonarezhou NP,2009,9123,887.3826683,"Dunham et al.. 2009. Aerial survey of elephants and other large herbivores in Gonarezhou National Park (Zimbabwe), Zinave National Park (Mozambiqu) and surrounds: 2009. Frankfurt Zoological Society.",Yes
Zimbabwe,Gonarezhou NP & Save Valley Conservancy,Gonarezhou NP,2013,10151,965.0367869,Dunham. 2013. Aerial survey of elephants and other large herbivores in Gonarezhou National Park (Zimbabwe) and surrounding areas: 2013. Frankfurt Zoological Society.,Yes
Zimbabwe,Gonarezhou NP & Save Valley Conservancy,Gonarezhou NP,2014,11120,1382.030029,GEC report,Yes
Zimbabwe,Gonarezhou NP & Save Valley Conservancy,Save Valley Conservancy,2001,535,161,historical data cited in GEC report,Yes
Zimbabwe,Gonarezhou NP & Save Valley Conservancy,Save Valley Conservancy,2014,1585,661,GEC report,Yes
Zimbabwe,NW Matabeleland,Hwange NP,1995,22811,2093.889587,historical data cited in GEC report,Yes
Zimbabwe,NW Matabeleland,Hwange NP,1996,27972,3374.722426,historical data cited in GEC report,Yes
Zimbabwe,NW Matabeleland,Hwange NP,1997,31819,3467.107263,historical data cited in GEC report,Yes
Zimbabwe,NW Matabeleland,Hwange NP,1998,28928,2448.012229,historical data cited in GEC report,Yes
Zimbabwe,NW Matabeleland,Hwange NP,1999,34369,2852.233254,historical data cited in GEC report,Yes
Zimbabwe,NW Matabeleland,Hwange NP,2001,44492,2914.23,historical data cited in GEC report,Yes
Zimbabwe,NW Matabeleland,Hwange NP,2014,45846,3185.728959,GEC report,Yes
Zimbabwe,NW Matabeleland,Matetsi Complex,1995,4414,984.1927586,historical data cited in GEC report,No
Zimbabwe,NW Matabeleland,Matetsi Complex,1996,5249,1246.732686,historical data cited in GEC report,No
Zimbabwe,NW Matabeleland,Matetsi Complex,1997,4043,995.6003864,historical data cited in GEC report,No
Zimbabwe,NW Matabeleland,Matetsi Complex,1998,5432,1170.579347,historical data cited in GEC report,No
Zimbabwe,NW Matabeleland,Matetsi Complex,1999,8582,1720.92554,historical data cited in GEC report,No
Zimbabwe,NW Matabeleland,Matetsi Complex,2001,4201,867.507,historical data cited in GEC report,No
Zimbabwe,NW Matabeleland,Matetsi Complex,2014,4843,1514.375119,GEC report,No
Zimbabwe,Sebungwe,communal lands,1995,4964,811.0774441,historical data cited in GEC report,No
Zimbabwe,Sebungwe,communal lands,1996,4016,474.8596382,historical data cited in GEC report,No
Zimbabwe,Sebungwe,communal lands,1997,4362,358.9296854,historical data cited in GEC report,No
Zimbabwe,Sebungwe,communal lands,1999,4921,740.332858,historical data cited in GEC report,No
Zimbabwe,Sebungwe,communal lands,2001,4037,560.3934587,historical data cited in GEC report,No
Zimbabwe,Sebungwe,communal lands,2006,4361,562.630336,historical data cited in GEC report,No
Zimbabwe,Sebungwe,communal lands,2014,497,203.5436071,GEC report,No
Zimbabwe,Sebungwe,Parks & Wildlife estate,1995,6753,591.0501701,historical data cited in GEC report,Yes
Zimbabwe,Sebungwe,Parks & Wildlife estate,1996,9030,799.6031746,historical data cited in GEC report,Yes
Zimbabwe,Sebungwe,Parks & Wildlife estate,1997,9056,513.5204082,historical data cited in GEC report,Yes
Zimbabwe,Sebungwe,Parks & Wildlife estate,1999,10897,1012.726757,historical data cited in GEC report,Yes
Zimbabwe,Sebungwe,Parks & Wildlife estate,2001,9944,928.5147392,historical data cited in GEC report,Yes
Zimbabwe,Sebungwe,Parks & Wildlife estate,2006,10229,907.1145125,historical data cited in GEC report,Yes
Zimbabwe,Sebungwe,Parks & Wildlife estate,2014,2894,574.9826084,GEC report,Yes
Zimbabwe,Tuli,Nottingham & Sentinel,2000,170,0,historical data cited in GEC report,No
Zimbabwe,Tuli,Nottingham & Sentinel,2001,104,0,historical data cited in GEC report,No
Zimbabwe,Tuli,Nottingham & Sentinel,2004,20,0,historical data cited in GEC report,No
Zimbabwe,Tuli,Nottingham & Sentinel,2007,116,0,historical data cited in GEC report,No
Zimbabwe,Tuli,Nottingham & Sentinel,2010,304,0,historical data cited in GEC report,No
Zimbabwe,Tuli,Nottingham & Sentinel,2012,355,0,historical data cited in GEC report,No
Zimbabwe,Tuli,Nottingham & Sentinel,2014,154,0,GEC report,No
Zimbabwe,Tuli,Tuli SA,2000,57,0,historical data cited in GEC report,No
Zimbabwe,Tuli,Tuli SA,2001,0,0,historical data cited in GEC report,No
Zimbabwe,Tuli,Tuli SA,2004,0,0,historical data cited in GEC report,No
Zimbabwe,Tuli,Tuli SA,2007,3,0,historical data cited in GEC report,No
Zimbabwe,Tuli,Tuli SA,2008,0,0,historical data cited in GEC report,No
Zimbabwe,Tuli,Tuli SA,2010,0,0,historical data cited in GEC report,No
Zimbabwe,Tuli,Tuli SA,2012,0,0,historical data cited in GEC report,No
Zimbabwe,Tuli,Tuli SA,2014,58,0,GEC report,No
Zimbabwe,Zambezi Valley,Zambezi Valley,1998,17464,1512.472056,historical data cited in GEC report,No
Zimbabwe,Zambezi Valley,Zambezi Valley,2001,19341,1263.954,historical data cited in GEC report,No
Zimbabwe,Zambezi Valley,Zambezi Valley,2014,11657,1136.976693,GEC report,No
